manual_code,section_code,section_title,orig_start_page,orig_end_page,chapter_pdf_filename,chapter_total_pages,edition_id,source_pdf_sha256,source_pdf_page_count,anchor_p1_expected,anchor_p1_text_sha256,anchor_p1_image_phash,anchor_mid_expected,anchor_mid_text_sha256,anchor_mid_image_phash,anchor_last_expected,anchor_last_text_sha256,anchor_last_image_phash,page_numbering_type,blank_page_list,rotation_angles,validation_status
U435,23,Service Brakes,681,770,U435_23_Service_Brakes.pdf,90,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,brake system,TBD,TBD,brake components,TBD,TBD,brake discs,TBD,TBD,arabic,,0,PENDING
U435,24,Parking Brake,781,795,U435_24_Parking_Brake.pdf,15,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,parking brake,TBD,TBD,handbrake adjustment,TBD,TBD,parking brake drum,TBD,TBD,arabic,,0,PENDING
U435,25,Main Hydraulics,801,840,U435_25_Main_Hydraulics.pdf,40,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,hydraulic system,TBD,TBD,hydraulic pump,TBD,TBD,hydraulic oil,TBD,TBD,arabic,,0,PENDING
U435,43,Pneumatic Brakes,851,890,43_Brakes_Pneumatic.pdf,40,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,pneumatic system,TBD,TBD,air compressor,TBD,TBD,slack adjusters,TBD,TBD,arabic,,0,CRITICAL
U435,18,Steering System,911,930,U435_18_Steering.pdf,20,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,steering preparation,TBD,TBD,steering adjustment,TBD,TBD,pump specifications,TBD,TBD,arabic,,0,PENDING
U435,46,Steering LS7F,948,965,46_Steering.pdf,18,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,steering ls7f,TBD,TBD,steering components,TBD,TBD,steering damper,TBD,TBD,arabic,,0,PENDING
U435,14,Electrical Wiring,990,1022,U435_14_Wiring.pdf,33,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,electrical system 54.7,TBD,TBD,wiring diagrams,TBD,TBD,warning lights,TBD,TBD,arabic,,0,PENDING
U435,32,Advanced Electrical,1026,1039,U435_32_Advanced_Electrical.pdf,14,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,electrical harness,TBD,TBD,wire colors,TBD,TBD,harness protection,TBD,TBD,arabic,,0,PENDING
U435,29,HVAC Heating,1041,1065,U435_29_HVAC_Heating.pdf,25,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,heating system,TBD,TBD,heater controls,TBD,TBD,defroster,TBD,TBD,arabic,,0,PENDING
U435,27,Cab Structure,1071,1098,U435_27_Cab_Structure.pdf,28,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,body components,TBD,TBD,cab mounting,TBD,TBD,hood,TBD,TBD,arabic,,0,PENDING
U435,42,Hydraulic Mechanical Brakes,1101,1127,42_Brakes_Hydraulic_Mechanical.pdf,27,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,hydraulic brake system,TBD,TBD,brake cylinders,TBD,TBD,brake system diagram,TBD,TBD,arabic,,0,PENDING
U435,41,Eberspacher Heater,1152,1183,U435_41_Heater_Eberspacher.pdf,32,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,auxiliary heater,TBD,TBD,heater timer,TBD,TBD,heater maintenance,TBD,TBD,arabic,,0,PENDING
